Handle,Title,Vendor,Type,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Status
tirzepatide,Tirzepatide,Nueva Research,Lyophilized vial,TRUE,Strength,10 mg,NR-TIRZ-10,0,,continue,manual,76.99,91.00,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-tirz-10.png,1,Tirzepatide 10 mg,https://www.nuevaresearch.shop/img/cut-tirz-10.png,active
tirzepatide,Tirzepatide,Nueva Research,Lyophilized vial,TRUE,Strength,30 mg,NR-TIRZ-30,0,,continue,manual,147.99,174.92,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-tirz-30.png,2,Tirzepatide 30 mg,https://www.nuevaresearch.shop/img/cut-tirz-30.png,active
tirzepatide,Tirzepatide,Nueva Research,Lyophilized vial,TRUE,Strength,60 mg,NR-TIRZ-60,0,,continue,manual,236.99,280.12,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-tirz-60.png,3,Tirzepatide 60 mg,https://www.nuevaresearch.shop/img/cut-tirz-60.png,active
tirzepatide,Tirzepatide,Nueva Research,Lyophilized vial,TRUE,Strength,100 mg,NR-TIRZ-100,0,,continue,manual,354.99,419.60,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-tirz-100.png,4,Tirzepatide 100 mg,https://www.nuevaresearch.shop/img/cut-tirz-100.png,active
bpc-157,BPC-157,Nueva Research,Lyophilized vial,TRUE,Strength,10 mg,NR-BPC-10,0,,continue,manual,54.99,65.00,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-bpc.png,1,BPC-157 10 mg,https://www.nuevaresearch.shop/img/cut-bpc.png,active
tb-500,TB-500,Nueva Research,Lyophilized vial,TRUE,Strength,10 mg,NR-TB5-10,0,,continue,manual,73.99,87.46,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-tb.png,1,TB-500 10 mg,https://www.nuevaresearch.shop/img/cut-tb.png,active
bpc-157-tb-500-blend,BPC-157 / TB-500 Blend,Nueva Research,Co-lyophilized vial,TRUE,Strength,10 mg + 10 mg,NR-WLV-20,0,,continue,manual,72.99,86.27,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-blend.png,1,BPC-157 / TB-500 Blend 10 mg + 10 mg,https://www.nuevaresearch.shop/img/cut-blend.png,active
klow,GHK-Cu / TB-500 / BPC-157 / KPV,Nueva Research,Lyophilized vial,TRUE,Strength,80 mg blend,NR-KLOW-80,0,,continue,manual,129.99,153.65,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-klow.png,1,GHK-Cu / TB-500 / BPC-157 / KPV 80 mg blend,https://www.nuevaresearch.shop/img/cut-klow.png,active
glow-blend,BPC-157 / TB-500 / GHK-Cu,Nueva Research,Lyophilized vial,TRUE,Strength,70 mg blend,NR-GBT-70,0,,continue,manual,117.99,139.46,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-glow.png,1,BPC-157 / TB-500 / GHK-Cu 70 mg blend,https://www.nuevaresearch.shop/img/cut-glow.png,active
ghk-cu,GHK-Cu,Nueva Research,Lyophilized vial,TRUE,Strength,50 mg,NR-GHK-50,0,,continue,manual,34.99,41.36,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-ghk-50.png,1,GHK-Cu 50 mg,https://www.nuevaresearch.shop/img/cut-ghk-50.png,active
ghk-cu,GHK-Cu,Nueva Research,Lyophilized vial,TRUE,Strength,100 mg,NR-GHK-100,0,,continue,manual,52.99,62.63,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-ghk-100.png,2,GHK-Cu 100 mg,https://www.nuevaresearch.shop/img/cut-ghk-100.png,active
epitalon,Epitalon,Nueva Research,Lyophilized vial,TRUE,Strength,50 mg,NR-EPI-50,0,,continue,manual,131.99,156.01,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-epi.png,1,Epitalon 50 mg,https://www.nuevaresearch.shop/img/cut-epi.png,active
pinealon,Pinealon,Nueva Research,Lyophilized vial,TRUE,Strength,10 mg,NR-PIN-10,0,,continue,manual,63.99,75.64,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-pine.png,1,Pinealon 10 mg,https://www.nuevaresearch.shop/img/cut-pine.png,active
semax,Semax,Nueva Research,Lyophilized vial,TRUE,Strength,10 mg,NR-SMX-10,0,,continue,manual,45.99,54.36,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-semax.png,1,Semax 10 mg,https://www.nuevaresearch.shop/img/cut-semax.png,active
selank,Selank,Nueva Research,Lyophilized vial,TRUE,Strength,10 mg,NR-SLK-10,0,,continue,manual,57.99,68.54,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-selank.png,1,Selank 10 mg,https://www.nuevaresearch.shop/img/cut-selank.png,active
tesamorelin,Tesamorelin,Nueva Research,Lyophilized vial,TRUE,Strength,10 mg,NR-TESA-10,0,,continue,manual,90.99,107.55,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-tesa.png,1,Tesamorelin 10 mg,https://www.nuevaresearch.shop/img/cut-tesa.png,active
tesamorelin-ipamorelin,Tesamorelin / Ipamorelin,Nueva Research,Lyophilized vial,TRUE,Strength,12 mg + 2 mg,NR-TI-14,0,,continue,manual,115.99,137.10,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-ti.png,1,Tesamorelin / Ipamorelin 12 mg + 2 mg,https://www.nuevaresearch.shop/img/cut-ti.png,active
thymosin-alpha-1,Thymosin Alpha 1,Nueva Research,Lyophilized vial,TRUE,Strength,10 mg,NR-TA1-10,0,,continue,manual,99.99,118.19,TRUE,TRUE,https://www.nuevaresearch.shop/img/cut-ta1.png,1,Thymosin Alpha 1 10 mg,https://www.nuevaresearch.shop/img/cut-ta1.png,active
